"BEEF_production","BEEF_workers","BEEF_price","BEEF_volume","BEEF_outputInventory","BEEF_inputInventory","BEEF_shortages","FOOD_production","FOOD_workers","FOOD_price","FOOD_volume","FOOD_outputInventory","FOOD_inputInventory","FOOD_shortages"
"11","11","51","0","372","400","false","0","0","95","0","0","33","false"
"11","11","51","0","383","400","false","0","0","95","0","0","33","false"
"11","11","51","0","394","400","false","0","0","95","0","0","33","false"
"11","11","51","0","405","400","false","0","0","95","0","0","33","false"
"11","11","51","0","416","400","false","0","0","95","0","0","33","false"
"11","11","51","0","427","400","false","0","0","95","0","0","33","false"
"11","11","51","0","438","400","false","0","0","95","0","0","33","false"
"11","11","51","0","449","400","false","0","0","95","0","0","33","false"
"11","11","51","0","460","400","false","0","0","95","0","0","33","false"
"11","12","51","0","471","400","false","0","0","95","0","0","33","false"
"11","12","51","0","482","400","false","0","0","95","0","0","33","false"
"12","12","51","0","494","400","false","0","0","95","0","0","33","false"
"12","12","51","0","506","400","false","0","0","95","0","0","33","false"
"12","12","51","0","518","400","false","0","0","95","0","0","33","false"
"12","12","51","0","530","400","false","0","0","95","0","0","33","false"
"12","12","51","0","542","400","false","0","0","95","0","0","33","false"
"12","12","51","0","554","400","false","0","0","95","0","0","33","false"
"12","12","51","0","566","400","false","0","0","95","0","0","33","false"
"12","12","51","0","578","400","false","0","0","95","0","0","33","false"
"12","12","51","0","590","400","false","0","0","95","0","0","33","false"
"12","13","51","0","602","400","false","0","0","95","0","0","33","false"
"13","13","51","0","615","400","false","0","0","95","0","0","33","false"
"13","13","51","0","628","400","false","0","0","95","0","0","33","false"
"13","13","51","0","641","400","false","0","0","95","0","0","33","false"
"13","13","51","0","654","400","false","0","0","95","0","0","33","false"
"13","13","51","0","667","400","false","0","0","95","0","0","33","false"
"13","13","51","0","680","400","false","0","0","95","0","0","33","false"
"13","13","51","0","693","400","false","0","0","95","0","0","33","false"
"13","13","51","0","706","400","false","0","0","95","0","0","33","false"
"13","14","51","0","719","400","false","0","0","95","0","0","33","false"
"13","14","51","0","732","400","false","0","0","95","0","0","33","false"
"14","14","51","0","746","400","false","0","0","95","0","0","33","false"
"14","14","51","0","760","400","false","0","0","95","0","0","33","false"
